Timestamp,Hash Rate
2015-07-31,361228.839521953
2015-08-03,382018.988559187
2015-08-06,363827.608151607
2015-08-09,353662.65570703
2015-08-12,322225.975199739
2015-08-15,351042.932331422
2015-08-18,379859.889463106
2015-08-21,403437.399843575
2015-08-24,423446.540478744
2015-08-27,401869.646696388
2015-08-30,388384.088082415
2015-09-02,415355.205310361
2015-09-05,427538.389387399
2015-09-08,393561.828641381
2015-09-11,489828.750755099
2015-09-14,450189.429884745
2015-09-17,399224.588765717
2015-09-20,353949.157008514
2015-09-23,442436.446260643
2015-09-26,448335.598877451
2015-09-29,510276.701353941
2015-10-02,377880.220505957
2015-10-05,447410.181079053
2015-10-08,414156.721674529
2015-10-11,453456.264607148
2015-10-14,459502.348135243
2015-10-17,396478.230871569
2015-10-20,384372.025348773
2015-10-23,466088.912627646
2015-10-26,460035.809866248
2015-10-29,458010.013458184
2015-11-01,492051.298242239
2015-11-04 00:00:00,479672.649229855
2015-11-07 00:00:00,504429.947254622
2015-11-10 00:00:00,442536.702192705
2015-11-13 00:00:00,546646.864777153
2015-11-16 00:00:00,576106.875453766
2015-11-19 00:00:00,458266.832747314
2015-11-22 00:00:00,569560.206414519
2015-11-25 00:00:00,556720.631229444
2015-11-28 00:00:00,527800.078957785
2015-12-01 00:00:00,694093.254519827
2015-12-04 00:00:00,527800.078957785
2015-12-07 00:00:00,593762.303117281
2015-12-10 00:00:00,770711.333847596
2015-12-13 00:00:00,585897.901751489
2015-12-16 00:00:00,660609.714726511
2015-12-19 00:00:00,720030.586381441
2015-12-22 00:00:00,654995.565676021
2015-12-25 00:00:00,622478.055323311
2015-12-28 00:00:00,747902.738112336
2015-12-31 00:00:00,743604.444166195
2016-01-03 00:00:00,769424.042921966
2016-01-06 00:00:00,702293.086156962
2016-01-09 00:00:00,821063.240433507
2016-01-12 00:00:00,908849.876203127
2016-01-15 00:00:00,693089.355237507
2016-01-18 00:00:00,986102.741191575
2016-01-21 00:00:00,755072.956112406
2016-01-24 00:00:00,935388.885930294
2016-01-27 00:00:00,918901.018160999
2016-01-30 00:00:00,1056139.48191232
2016-02-02 00:00:00,978569.91544418
2016-02-05 00:00:00,1074040.15109727
2016-02-08 00:00:00,1153414.86436954
2016-02-11 00:00:00,1375500.95626678
2016-02-14 00:00:00,1289532.14650011
2016-02-17 00:00:00,1002969.44727786
2016-02-20 00:00:00,1284099.85113956
2016-02-23 00:00:00,1097173.92344203
2016-02-26 00:00:00,1219082.13715781
2016-02-29 00:00:00,1097173.92344203
2016-03-03 00:00:00,1080919.49494659
2016-03-06 00:00:00,1094688.8032164
2016-03-09 00:00:00,1299450.73763098
2016-03-12 00:00:00,1141941.55731207
2016-03-15,1197069.77042369
2016-03-18,1135311.13692768
2016-03-21,1036588.42936875
2016-03-24,1242260.73678319
2016-03-27,1258714.52137634
2016-03-30,1308075.8751558
2016-04-02,1244135.05700979
2016-04-05,1235840.82329639
2016-04-08,1169486.9535892
2016-04-11,1252429.29072319
2016-04-14,1465554.23046872
2016-04-17,1358968.46825281
2016-04-20,1465554.23046307
2016-04-23,1279029.14658595
2016-04-26,1341204.17454499
2016-04-29,1403229.58035675
2016-05-02,1394348.38048107
2016-05-05,1385467.1806054
2016-05-08,1447635.57973513
2016-05-11,1284309.11258538
2016-05-14,1390530.16700974
2016-05-17,1361560.78853037
2016-05-20,1438812.46447535
2016-05-23,1747819.1682553
2016-05-26,1357376.35658448
2016-05-29,1456454.92275853
2016-06-01,1426731.35290631
2016-06-04,1179034.93747119
2016-06-07,1406915.6396715
2016-06-10,1403462.33970866
2016-06-13,1569148.86592427
2016-06-16,1452193.67094854
2016-06-19,1725089.1258919
2016-06-22,1343144.51552102
2016-06-25,1728387.51609681
2016-06-28,1551383.97529172
2016-07-01,1634679.7592
2016-07-04,1601825.83564846
2016-07-07,1463920.30012906
2016-07-10,1654866.42623285
2016-07-13,1379055.35519404
2016-07-16,1665474.54434972
2016-07-19,1358434.53362342
2016-07-22,1369047.30341735
2016-07-25,1400885.61279915
2016-07-28,1453949.46176882
2016-07-31,1634366.54826568
2016-08-03,1686075.87924624
2016-08-06,1676039.71329835
2016-08-09,1254520.74348679
2016-08-12,1495388.72623625
2016-08-15,1577645.90337332
2016-08-18,1664092.25424309
2016-08-21,1761344.39897158
2016-08-24,1653286.46038437
2016-08-27,1556034.31565588
2016-08-30,1810682.89469399
2016-09-02,1678996.86598897
2016-09-05,1536337.00155853
2016-09-08,1580232.34446021
2016-09-11,1799709.05896857
2016-09-14,1751289.22289128
2016-09-17,1829872.71366204
2016-09-20,1717610.58398952
2016-09-23,1526764.96354624
2016-09-26,1834694.78230379
2016-09-29,1714780.09064995
2016-10-02,1690797.15231918
2016-10-05,2002575.35061917
2016-10-08,2171858.80432592
2016-10-11,1786321.73846925
2016-10-14,1747768.03188358
2016-10-17,1606404.44106947
2016-10-20,1722065.56082647
2016-10-23,1815470.12498659
2016-10-26,1752432.967869
2016-10-29,1878507.28210418
2016-11-01,1815470.12498659
2016-11-04,1462462.04512809
2016-11-07 00:00:00,1847956.77194818
2016-11-10 00:00:00,2126416.01155681
2016-11-13 00:00:00,1809985.0574561
2016-11-16 00:00:00,2177044.96421293
2016-11-19 00:00:00,1989192.73972682
2016-11-22 00:00:00,1877125.54312249
2016-11-25 00:00:00,2129276.73548223
2016-11-28 00:00:00,2297377.53038872
2016-12-01 00:00:00,2045226.33802898
2016-12-04 00:00:00,2109770.13119712
